OBJECTID;Id da Instalação;Modalidade de Operação;Nome;Data Prevista;Data Prevista;Data Entrada;Data Entrada;Tipo de Usina;Tipo de Usina,x,y
1;PBUCG ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI CAMPINA GRANDE                                 PB       ;30/01/2011;31/01/2011;07/02/2011;08/02/2011;UTE;Térmica                       ,-35.90777799999995,-7.296943999999996
2;RSUSSE;UTE COM CVU DECLARADO, QUE NÃO IMPACTA A REDE DE OPERAÇÃO E É DESPACHADA POR ORDEM DE MÉRITO;USI UTE SAO SEPE                                   RS       ;14/11/2018;15/11/2018;12/03/2019;13/03/2019;UTE;Térmica                       ,-53.65444416999998,-30.101559170999963
3;MAUTP5;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE PARNAIBA V                                 MA       ;27/08/2021;28/08/2021;11/11/2022;12/11/2022;UTE;Térmica                       ,-44.35305599999998,-4.817777999999976
4;SPUFD1;USINA PERTENCENTE A CONJUNTO DE USINAS;USI USINA FOTOVOLTAICA DRACENA 1                   SP       ;30/05/2019;31/05/2019;23/08/2019;24/08/2019;UFV;Fotovoltaica                  ,-51.59443799999997,-21.46227400099997
5;SPUFD2;USINA PERTENCENTE A CONJUNTO DE USINAS;USI USINA FOTOVOLTAICA DRACENA 2                   SP       ;30/05/2019;31/05/2019;23/08/2019;24/08/2019;UFV;Fotovoltaica                  ,-51.59298799999999,-21.457524000999967
6;BAUTCA;UTE COM CVU DECLARADO, QUE NÃO IMPACTA A REDE DE OPERAÇÃO E É DESPACHADA POR ORDEM DE MÉRITO;USI UTE ERB CANDEIAS                               BA       ;30/10/2014;31/10/2014;30/10/2014;31/10/2014;UTE;Térmica                       ,-38.48150824999999,-12.767463589999977
7;MSUTOP;UTE COM CVU DECLARADO, QUE NÃO IMPACTA A REDE DE OPERAÇÃO E É DESPACHADA POR ORDEM DE MÉRITO;USI UTE ONCA PINTADA                               MS       ;04/10/2020;05/10/2020;22/04/2021;23/04/2021;UTE;Térmica                       ,-51.42583337999997,-20.383888750999972
8;ESVIA ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE VIANA 1                                    ES       ;30/04/2022;01/05/2022;13/07/2022;14/07/2022;UTE;Térmica                       ,-40.43694721999998,-20.379169171
9;MGUTSV;UTE COM CVU DECLARADO, QUE NÃO IMPACTA A REDE DE OPERAÇÃO E É DESPACHADA POR ORDEM DE MÉRITO;USI UTE SANTA VITORIA                              MG       ;;;29/06/2015;30/06/2015;UTE;Térmica                       ,-50.23343299999999,-18.774914000999956
10;PRBBOG;UTE COM CVU DECLARADO, QUE NÃO IMPACTA A REDE DE OPERAÇÃO E É DESPACHADA POR ORDEM DE MÉRITO;USI UTE BARRA BONITA I                             PR       ;14/07/2022;15/07/2022;23/08/2022;24/08/2022;UTE;Térmica                       ,-52.00869499999999,-24.73109028099998
11;MTUSAC;UTE COM CVU DECLARADO, QUE NÃO IMPACTA A REDE DE OPERAÇÃO E É DESPACHADA POR ORDEM DE MÉRITO;USI PCH SALTO APIACAS                              MT       ;20/05/2016;21/05/2016;16/09/2016;17/09/2016;UHE;Hidroelétrica                 ,-56.98177784000001,-10.338611079999964
12;MSUTWI;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI U.T. WILLIAM ARJONA                            MS       ;31/05/2021;01/06/2021;09/07/2021;10/07/2021;UTE;Térmica                       ,-54.74972221999997,-20.54722222099997
